Leading Gene names	Gene names	Protein names	Total Peptides	Unique peptides	Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Mol. weight [kDa]	Sequence coverage [%]	Fold Change RNAi/CONTROL	p-value	LFQ intensity RNAi_1	Imputed (0=no/1=yes)	LFQ intensity RNAi_2	Imputed (0=no/1=yes)	LFQ intensity RNAi_3	Imputed (0=no/1=yes)	LFQ intensity Control_1	Imputed (0=no/1=yes)	LFQ intensity Control_2	Imputed (0=no/1=yes)	LFQ intensity Control_3	Imputed (0=no/1=yes)	GlyGly (K) site positions
PSMB1	PSMB1	Proteasome subunit beta type-1	5	5	P20618	P20618	5	5	5	26.489	23.7	0.61	4.5E-01	26.896	0	24.1142	1	26.4577	0	26.5472	0	26.7886	0	26.306	0	
TTC5	TTC5	Tetratricopeptide repeat protein 5	7	7	Q8N0Z6	Q8N0Z6	7	7	7	48.927	20	1.69	3.1E-01	26.6869	0	26.6751	0	26.3544	0	26.4117	0	24.5457	1	26.4909	0	
CHMP2B	CHMP2B	Charged multivesicular body protein 2b	3	3	Q9UQN3-2;Q9UQN3	Q9UQN3-2;Q9UQN3	3;3	3;3	3;3	19.1	21.5	0.68	6.6E-01	24.0721	1	24.1079	1	24.1982	1	22.8204	1	24.3447	1	26.8876	0	66
SEC13	SEC13	Protein SEC13 homolog	5	5	P55735;P55735-2;P55735-4;P55735-3	P55735;P55735-2;P55735-4;P55735-3	5;4;4;4	5;4;4;4	5;4;4;4	35.54	23.3	1.09	5.3E-01	26.4647	0	26.7843	0	26.5808	0	26.5641	0	26.1688	0	26.7099	0	
TRIM44	TRIM44	Tripartite motif-containing protein 44	3	3	Q96DX7	Q96DX7	3	3	3	38.472	8.7	1.23	3.4E-01	27.1917	0	27.6344	0	26.795	0	26.689	0	26.9895	0	27.0636	0	
PTP4A1	PTP4A1;PTP4A2	Protein tyrosine phosphatase type IVA 1;Protein tyrosine phosphatase type IVA 2	4	2	Q93096;Q12974-3	Q93096;Q12974-3	4;2	4;2	2;0	19.815	28.9	1.45	1.0E-01	26.8932	0	27.2575	0	26.4257	0	26.4481	0	26.2167	0	26.3125	0	
VPS4A	VPS4A	Vacuolar protein sorting-associated protein 4A	3	2	Q9UN37	Q9UN37	3	2	2	48.897	8.9	1.48	5.0E-01	26.6366	0	26.6638	0	26.4173	0	26.6767	0	26.8605	0	24.4874	1	
TNIP1	TNIP1	TNFAIP3-interacting protein 1	2	2	Q15025-7;Q15025-8;Q15025-5;Q15025-6;Q15025-4;Q15025-3;Q15025-2;Q15025	Q15025-7;Q15025-8;Q15025-5;Q15025-6;Q15025-4;Q15025-3;Q15025-2;Q15025	2;2;2;2;2;2;2;2	2;2;2;2;2;2;2;2	2;2;2;2;2;2;2;2	61.569	4.8	1.37	7.7E-01	27.1691	0	23.9957	1	26.9199	0	26.7374	0	23.5024	1	26.4943	0	
PAWR	PAWR	PRKC apoptosis WT1 regulator protein	2	2	Q96IZ0	Q96IZ0	2	2	2	36.567	9.4	0.98	9.9E-01	27.3918	0	23.3174	1	24.8602	1	24.3486	1	27.1538	0	24.1417	1	
HMMR	HMMR	Hyaluronan mediated motility receptor	7	7	O75330-4;O75330-2;O75330;O75330-3	O75330-4;O75330-2;O75330;O75330-3	7;7;7;7	7;7;7;7	7;7;7;7	74.494	12.7	0.74	6.9E-02	26.7539	0	26.638	0	26.5466	0	26.8136	0	27.375	0	27.0352	0	
TMEM214	TMEM214	Transmembrane protein 214	5	5	Q6NUQ4-2;Q6NUQ4	Q6NUQ4-2;Q6NUQ4	5;5	5;5	5;5	72.039	9.3	0.78	1.1E-01	27.0217	0	26.8764	0	26.4949	0	27.1891	0	27.0234	0	27.2423	0	
DCXR	DCXR	L-xylulose reductase	4	4	Q7Z4W1	Q7Z4W1	4	4	4	25.913	18.4	0.78	7.8E-01	23.6362	1	27.4669	0	26.9168	0	26.6738	0	26.0224	0	26.4154	0	17
EGFR	EGFR	Epidermal growth factor receptor	9	8	P00533;P00533-4;P00533-3;P00533-2;P04626-3;P04626-2;Q15303-4;Q15303-3;Q15303-2;Q15303	P00533;P00533-4;P00533-3	9;6;6;4;1;1;1;1;1;1	9;6;6;4;1;1;1;1;1;1	8;6;6;4;0;0;0;0;0;0	134.28	8.8	1.08	4.3E-01	27.3301	0	27.5177	0	27.251	0	27.2897	0	27.408	0	27.057	0	
PSMG3	PSMG3	Proteasome assembly chaperone 3	4	4	Q9BT73	Q9BT73	4	4	4	13.104	50	0.16	8.7E-02	23.0571	1	23.0621	1	26.564	0	26.5914	0	26.8335	0	27.2768	0	
GSK3A	GSK3A	Glycogen synthase kinase-3 alpha	6	3	P49840	P49840	6	3	3	50.98	14.5	0.98	8.5E-01	26.58	0	26.6564	0	26.4835	0	26.6638	0	26.3983	0	26.7247	0	360
TP53BP1	TP53BP1	Tumor suppressor p53-binding protein 1	6	6	Q12888;Q12888-3;Q12888-2	Q12888;Q12888-3;Q12888-2	6;6;6	6;6;6	6;6;6	213.57	4.1	0.99	9.1E-01	27.072	0	27.624	0	27.2083	0	27.2374	0	27.4428	0	27.286	0	
DBI	DBI	Acyl-CoA-binding protein	4	4	P07108;P07108-3;P07108-2;P07108-4;P07108-5;P07108-6	P07108;P07108-3;P07108-2;P07108-4;P07108-5	4;4;4;4;4;1	4;4;4;4;4;1	4;4;4;4;4;1	10.044	62.1	1.72	4.5E-01	26.3123	0	26.7484	0	26.5011	0	26.3415	0	26.9397	0	23.9274	1	77
RAP2C	RAP2C	Ras-related protein Rap-2c	3	2	Q9Y3L5	Q9Y3L5	3	3	2	20.745	17.5	1.21	6.5E-01	27.2133	0	26.1103	0	26.9274	0	27.3725	0	26.2267	0	25.817	0	
MRTO4	MRTO4	mRNA turnover protein 4 homolog	7	7	Q9UKD2	Q9UKD2	7	7	7	27.56	31.4	0.91	3.8E-01	26.5032	0	26.3558	0	26.3794	0	26.3011	0	26.5911	0	26.7614	0	
RBM22	RBM22	Pre-mRNA-splicing factor RBM22	5	5	Q9NW64-2;Q9NW64	Q9NW64-2;Q9NW64	5;5	5;5	5;5	41.151	15.4	1.50	2.2E-01	27.523	0	26.633	0	26.2726	0	26.3855	0	25.9369	0	26.3592	0	
MBLAC2	MBLAC2	Metallo-beta-lactamase domain-containing protein 2	4	4	Q68D91;Q68D91-2	Q68D91;Q68D91-2	4;2	4;2	4;2	31.371	15.4	1.15	1.7E-01	26.6736	0	26.5741	0	26.4442	0	26.5566	0	26.3021	0	26.231	0	
ANP32B	ANP32B	Acidic leucine-rich nuclear phosphoprotein 32 family member B	4	3	Q92688-2;Q92688	Q92688-2;Q92688	4;4	3;3	3;3	22.276	24.6	1.33	1.6E-01	26.8357	0	26.522	0	26.768	0	26.0317	0	26.7212	0	26.1473	0	
LUC7L2	LUC7L2	Putative RNA-binding protein Luc7-like 2	5	5	Q96HJ9-2;Q9Y383-3;Q9Y383-2;Q9Y383;Q9NQ29-2;Q9NQ29-3;Q9NQ29	Q96HJ9-2;Q9Y383-3;Q9Y383-2;Q9Y383	5;5;5;5;2;2;2	5;5;5;5;2;2;2	5;5;5;5;2;2;2	54.223	13.3	1.25	2.8E-01	27.0006	0	27.1847	0	26.6424	0	26.6081	0	26.9759	0	26.2622	0	
DTYMK	DTYMK	Thymidylate kinase	5	5	P23919-2;P23919	P23919-2;P23919	5;4	5;4	5;4	21.064	27.1	0.50	3.6E-01	26.4926	0	23.5619	1	26.3171	0	26.2831	0	26.8374	0	26.2304	0	
VPS13C	VPS13C	Vacuolar protein sorting-associated protein 13C	15	15	Q709C8-4;Q709C8-2;Q709C8-3;Q709C8	Q709C8-4;Q709C8-2;Q709C8-3;Q709C8	15;15;15;15	15;15;15;15	15;15;15;15	403.08	4.9	1.12	2.1E-01	27.3773	0	27.1667	0	27.4247	0	27.2068	0	27.2624	0	27.0099	0	
GGCX	GGCX	Vitamin K-dependent gamma-carboxylase	5	5	P38435;P38435-2	P38435;P38435-2	5;4	5;4	5;4	87.56	7.9	0.46	4.6E-01	27.298	0	23.2133	1	27.2874	0	27.1408	0	27.1742	0	26.8215	0	
FSD1	FSD1	Fibronectin type III and SPRY domain-containing protein 1	6	6	Q9BTV5	Q9BTV5	6	6	6	55.819	14.3	0.94	2.8E-01	26.5297	0	26.5235	0	26.3158	0	26.5826	0	26.489	0	26.5822	0	
NOS1AP	NOS1AP	Carboxyl-terminal PDZ ligand of neuronal nitric oxide synthase protein	6	6	O75052-3;O75052;O75052-2	O75052-3;O75052	6;6;2	6;6;2	6;6;2	55.568	11	1.05	7.5E-01	26.6185	0	27.3196	0	26.7642	0	26.6926	0	26.9182	0	26.8611	0	
TBC1D10A	TBC1D10A	TBC1 domain family member 10A	6	6	Q9BXI6;Q9BXI6-2	Q9BXI6;Q9BXI6-2	6;6	6;6	6;6	57.117	13	0.44	3.7E-01	27.2318	0	26.8799	0	23.5035	1	26.7887	0	27.22	0	27.2	0	
ERLIN2	ERLIN2	Erlin-2	5	5	O94905;O94905-2;O94905-3;O75477	O94905	5;2;2;2	5;2;2;2	5;2;2;2	37.839	17.1	1.98	4.4E-01	26.9662	0	23.9999	1	26.6427	0	24.392	1	26.1711	0	24.0823	1	
GVINP1	GVINP1	Interferon-induced very large GTPase 1	2	2	Q7Z2Y8	Q7Z2Y8	2	2	2	279.04	1	0.33	2.8E-01	23.7046	1	24.4182	1	23.4388	1	27.8923	0	24.6129	1	23.8372	1	1863;1868
TAB1	TAB1	TGF-beta-activated kinase 1 and MAP3K7-binding protein 1	6	6	Q15750-2;Q15750	Q15750-2;Q15750	6;6	6;6	6;6	49.917	14.1	0.84	7.2E-01	27.2938	0	25.3785	0	26.707	0	26.3217	0	27.3532	0	26.4544	0	
HTATIP2	HTATIP2	Oxidoreductase HTATIP2	4	4	Q9BUP3;Q9BUP3-3;Q9BUP3-2	Q9BUP3;Q9BUP3-3;Q9BUP3-2	4;4;2	4;4;2	4;4;2	27.049	17.4	0.78	1.2E-01	26.3619	0	26.3814	0	25.9384	0	26.3756	0	26.6335	0	26.7261	0	
OR2B6	OR2B6	Olfactory receptor 2B6	1	1	P58173	P58173	1	1	1	35.414	3.5	0.26	1.7E-01	24.6035	1	24.8578	1	24.8537	0	27.9099	0	24.4202	1	27.8336	0	
TUBGCP6	TUBGCP6	Gamma-tubulin complex component 6	5	5	Q96RT7-2;Q96RT7-3;Q96RT7	Q96RT7-2;Q96RT7-3;Q96RT7	5;5;5	5;5;5	5;5;5	196.76	4.4	1.10	7.7E-01	26.5808	0	27.5941	0	27.097	0	27.1979	0	27.334	0	26.3363	0	
HSF1	HSF1	Heat shock factor protein 1	4	3	Q00613-2;Q00613;Q9ULV5-2;Q9ULV5	Q00613-2;Q00613	4;4;1;1	3;3;0;0	3;3;0;0	52.88	9.8	1.14	3.1E-01	27.0118	0	27.1606	0	26.6294	0	26.6824	0	26.7744	0	26.7821	0	
SEH1L	SEH1L	Nucleoporin SEH1	4	4	Q96EE3;Q96EE3-1	Q96EE3;Q96EE3-1	4;4	4;4	4;4	39.648	15	1.04	7.6E-01	26.2643	0	26.6588	0	26.3108	0	26.3645	0	26.5933	0	26.0864	0	
ARMC6	ARMC6	Armadillo repeat-containing protein 6	3	3	Q6NXE6-2;Q6NXE6	Q6NXE6-2;Q6NXE6	3;3	3;3	3;3	51.547	8	1.15	8.7E-01	24.0831	1	26.8066	0	26.0799	0	26.4731	0	23.8024	1	26.1072	0	
CCDC186	CCDC186	Coiled-coil domain-containing protein 186	7	7	Q7Z3E2	Q7Z3E2	7	7	7	103.69	8.8	0.96	4.9E-01	26.8226	0	27.0147	0	26.8634	0	26.8434	0	27.0636	0	26.992	0	
RAVER1	RAVER1	Ribonucleoprotein PTB-binding 1	7	7	Q8IY67-2;Q8IY67;Q8IY67-3	Q8IY67-2;Q8IY67	7;5;1	7;5;1	7;5;1	77.859	15.6	1.10	6.0E-01	26.7685	0	26.9478	0	26.4405	0	26.724	0	26.1804	0	26.8272	0	
BAZ1B	BAZ1B	Tyrosine-protein kinase BAZ1B	10	10	Q9UIG0-2;Q9UIG0	Q9UIG0-2;Q9UIG0	10;10	10;10	10;10	170.45	7.2	0.86	1.3E-01	27.0757	0	27.3096	0	27.0628	0	27.3135	0	27.5112	0	27.2566	0	
WRN	WRN	Werner syndrome ATP-dependent helicase	9	9	Q14191	Q14191	9	9	9	162.46	7.2	1.17	9.1E-02	27.3314	0	27.538	0	27.2083	0	27.0763	0	27.1371	0	27.1899	0	
GPHN	GPHN	Gephyrin;Molybdopterin adenylyltransferase;Molybdopterin molybdenumtransferase	8	8	Q9NQX3;Q9NQX3-2	Q9NQX3;Q9NQX3-2	8;8	8;8	8;8	79.748	13.2	1.00	9.7E-01	26.8956	0	26.9814	0	26.5064	0	26.7604	0	26.9974	0	26.6454	0	
STRN	STRN	Striatin	5	5	O43815-2;O43815	O43815-2;O43815	5;5	5;5	5;5	80.76	9.6	1.04	7.8E-01	27.1446	0	26.7005	0	26.5638	0	26.8033	0	26.9074	0	26.5125	0	
AAMDC	AAMDC	Mth938 domain-containing protein	3	3	Q9H7C9;Q9H7C9-3;Q9H7C9-2	Q9H7C9;Q9H7C9-3;Q9H7C9-2	3;2;2	3;2;2	3;2;2	13.332	29.5	0.54	6.0E-01	23.2208	1	23.6079	0	26.6804	0	27.5555	0	23.8209	1	24.8064	1	
NUMA1	NUMA1	Nuclear mitotic apparatus protein 1	79	1	Q14980-2	Q14980-2	79	1	1	236.51	46.5	0.86	8.7E-01	24.3604	1	23.7992	1	24.6754	1	23.2432	1	23.2443	1	27.0212	0	
EMC2	EMC2	ER membrane protein complex subunit 2	5	5	Q15006	Q15006	5	5	5	34.833	21.2	0.49	2.0E-01	26.4181	0	24.2784	1	25.9408	0	26.4693	0	26.9388	0	26.3182	0	
DDX23	DDX23	Probable ATP-dependent RNA helicase DDX23	7	7	Q9BUQ8	Q9BUQ8	7	7	7	95.581	9.9	1.96	3.7E-01	27.2158	0	27.1636	0	26.6551	0	27.1777	0	26.7796	0	24.1644	1	
EGLN1	EGLN1	Egl nine homolog 1	8	8	Q9GZT9-2;Q9GZT9;Q9GZT9-3;Q9H6Z9	Q9GZT9-2;Q9GZT9;Q9GZT9-3	8;8;6;1	8;8;6;1	8;8;6;1	43.666	20.5	1.28	3.0E-01	27.1738	0	26.6583	0	26.4782	0	26.5183	0	26.0095	0	26.7274	0	
DACH1	DACH1	Dachshund homolog 1	3	3	Q9UI36-2;Q9UI36;Q9UI36-4;Q9UI36-3;Q96NX9-2;Q96NX9	Q9UI36-2;Q9UI36;Q9UI36-4;Q9UI36-3	3;3;2;2;1;1	3;3;2;2;1;1	3;3;2;2;1;1	73.143	5.9	0.82	2.1E-01	26.3733	0	26.8898	0	26.6451	0	26.7204	0	27.1208	0	26.9221	0	
ZDHHC17	ZDHHC17;ZDHHC13	Palmitoyltransferase ZDHHC17;Palmitoyltransferase ZDHHC13	2	2	Q8IUH5-3;Q8IUH5-2;Q8IUH5;Q8IUH4	Q8IUH5-3;Q8IUH5-2;Q8IUH5;Q8IUH4	2;2;2;1	2;2;2;1	2;2;2;1	22.844	15.3	0.88	9.2E-01	27.1683	0	23.0754	1	27.1554	0	23.8704	1	26.965	0	27.1026	0	
ZEB1	ZEB1	Zinc finger E-box-binding homeobox 1	7	5	P37275-3;P37275-4;P37275-5;P37275;P37275-2	P37275-3;P37275-4;P37275-5;P37275;P37275-2	7;7;7;7;7	7;7;7;7;7	5;5;5;5;5	116.59	7.4	0.79	6.4E-02	26.8501	0	27.3031	0	27.1247	0	27.4329	0	27.4503	0	27.4053	0	
CTDSP2	CTDSP2	Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 2	3	3	O14595	O14595	3	3	3	30.664	14.4	0.50	3.7E-01	26.7205	0	23.5883	1	26.2268	0	26.3647	0	26.9372	0	26.2738	0	
EXOC8	EXOC8	Exocyst complex component 8	8	8	Q8IYI6	Q8IYI6	8	8	8	81.798	12	1.03	7.7E-01	27.0711	0	26.7179	0	26.7809	0	26.8309	0	26.6287	0	26.974	0	
CDH2	CDH2	Cadherin-2	4	4	P19022-2;P19022	P19022-2;P19022	4;4	4;4	4;4	97.039	7.8	1.11	3.4E-01	26.4722	0	26.7738	0	26.6784	0	26.2917	0	26.6676	0	26.5111	0	
CHMP4A	CHMP4A	Charged multivesicular body protein 4a	3	3	Q9BY43;Q9BY43-2	Q9BY43;Q9BY43-2	3;3	3;3	3;3	25.098	17.6	1.10	3.8E-01	26.357	0	26.6446	0	26.1857	0	26.1704	0	26.3439	0	26.2545	0	
TMEM33	TMEM33	Transmembrane protein 33	3	3	P57088	P57088	3	3	3	27.978	11.7	1.31	7.6E-01	26.9302	0	24.6914	1	26.7811	0	26.7629	0	26.6574	0	23.8259	1	
HLCS	HLCS	Biotin--protein ligase;Biotin--[methylmalonyl-CoA-carboxytransferase] ligase;Biotin--[propionyl-CoA-carboxylase [ATP-hydrolyzing]] ligase;Biotin--[methylcrotonoyl-CoA-carboxylase] ligase;Biotin--[acetyl-CoA-carboxylase] ligase	3	3	P50747	P50747	3	3	3	80.759	4.8	0.30	1.6E-01	24.2675	1	24.6525	1	24.4069	1	24.173	1	27.3167	0	27.008	0	
TRIM37	TRIM37	E3 ubiquitin-protein ligase TRIM37	6	6	O94972;O94972-2;O94972-3	O94972;O94972-2;O94972-3	6;5;5	6;5;5	6;5;5	107.9	7.9	1.11	6.6E-01	26.8926	0	27.0341	0	27.5062	0	26.6202	0	26.9127	0	27.4572	0	
PPP4R1	PPP4R1	Serine/threonine-protein phosphatase 4 regulatory subunit 1	5	5	Q8TF05-2;Q8TF05	Q8TF05-2;Q8TF05	5;5	5;5	5;5	105.19	5.7	1.06	7.1E-01	26.7362	0	27.0521	0	26.6617	0	26.4737	0	27.0547	0	26.6714	0	
PDS5B	PDS5B	Sister chromatid cohesion protein PDS5 homolog B	12	11	Q9NTI5-2;Q9NTI5;Q9NTI5-3;Q9NTI5-4;Q9NTI5-5	Q9NTI5-2;Q9NTI5	12;12;5;1;1	11;11;5;1;1	11;11;5;1;1	158.28	9.7	1.01	9.4E-01	27.1531	0	27.369	0	27.1727	0	27.1962	0	27.373	0	27.1012	0	
FAM45A	FAM45A;FAM45B	Protein FAM45A;Protein FAM45B	6	6	Q8TCE6;Q8TCE6-2;Q6NSW5	Q8TCE6;Q8TCE6-2;Q6NSW5	6;5;4	6;5;4	6;5;4	40.513	21.3	1.96	3.5E-01	26.5221	0	26.9191	0	26.1136	0	23.7939	1	26.7053	0	26.1355	0	
COPS4	COPS4	COP9 signalosome complex subunit 4	5	5	Q9BT78;Q9BT78-2	Q9BT78;Q9BT78-2	5;4	5;4	5;4	46.268	15.8	1.01	9.7E-01	26.3314	0	26.5062	0	26.1525	0	25.8434	0	26.3312	0	26.7779	0	
RAB23	RAB23	Ras-related protein Rab-23	5	5	Q9ULC3	Q9ULC3	5	5	5	26.659	26.2	0.36	3.3E-01	22.9328	1	25.3961	0	26.0632	0	24.3849	1	27.1645	0	27.3238	0	
ATXN2	ATXN2	Ataxin-2	7	7	Q99700-2;Q99700-4;Q99700;Q99700-5	Q99700-2;Q99700-4;Q99700;Q99700-5	7;7;7;5	7;7;7;5	7;7;7;5	106.05	11.5	1.17	1.1E-01	27.2442	0	27.18	0	27.306	0	26.8455	0	27.2175	0	26.9696	0	
CRNKL1	CRNKL1	Crooked neck-like protein 1	5	5	Q9BZJ0-2;Q9BZJ0-3;Q9BZJ0	Q9BZJ0-2;Q9BZJ0-3;Q9BZJ0	5;5;5	5;5;5	5;5;5	83.147	7.6	0.98	6.9E-01	26.8489	0	26.9584	0	26.9809	0	26.8365	0	27.0268	0	27.0214	0	
DDX46	DDX46	Probable ATP-dependent RNA helicase DDX46	8	8	Q7L014	Q7L014	8	8	8	117.36	8.7	1.04	7.3E-01	27.1998	0	26.7614	0	26.8247	0	26.8464	0	26.873	0	26.9118	0	
PDAP1	PDAP1	28 kDa heat- and acid-stable phosphoprotein	2	2	Q13442	Q13442	2	2	2	20.63	13.3	0.86	8.4E-01	26.3582	0	23.9213	1	26.8272	0	26.4535	0	24.8537	1	26.4693	0	
PTGES3	PTGES3	Prostaglandin E synthase 3	2	2	Q15185-4;Q15185;Q15185-2;Q15185-3	Q15185-4;Q15185;Q15185-2;Q15185-3	2;2;1;1	2;2;1;1	2;2;1;1	16.476	14.4	1.13	8.8E-01	26.8656	0	24.3199	1	26.9764	0	24.4632	1	26.8992	0	26.2519	0	
RPLP1	RPLP1	60S acidic ribosomal protein P1	1	1	P05386	P05386	1	1	1	11.514	14	0.47	3.1E-01	25.2185	1	24.5709	1	22.8457	1	24.6766	1	26.4967	0	24.7021	1	
TTI1	TTI1	TELO2-interacting protein 1 homolog	5	5	O43156	O43156	5	5	5	122.07	5.8	1.02	8.5E-01	26.7161	0	27.1409	0	26.8804	0	26.8369	0	27.0937	0	26.7077	0	
TFAP2A	TFAP2A;TFAP2B;TFAP2E	Transcription factor AP-2-alpha;Transcription factor AP-2-beta;Transcription factor AP-2-epsilon	4	3	P05549-5;P05549-6;P05549;Q92481;Q92481-2;Q6VUC0;Q92754-2;P05549-2;Q92754	P05549-5;P05549-6;P05549;Q92481;Q92481-2;Q6VUC0	4;4;4;3;3;2;1;1;1	4;4;4;3;3;2;1;1;1	3;3;3;2;2;1;0;0;0	47.183	12.8	0.90	7.4E-01	26.8187	0	25.9335	0	26.6364	0	26.8788	0	25.9241	0	27.0652	0	
ATG4C	ATG4C	Cysteine protease ATG4C	5	5	Q96DT6	Q96DT6	5	5	5	52.497	13.8	1.96	2.1E-01	26.9345	0	26.7529	0	26.6672	0	26.2757	0	26.6403	0	24.5166	1	
CIRH1A	CIRH1A	Cirhin	7	7	Q969X6;Q969X6-3;Q969X6-2	Q969X6;Q969X6-3;Q969X6-2	7;6;5	7;6;5	7;6;5	76.889	13.4	1.23	9.2E-02	26.7175	0	26.8184	0	27.1256	0	26.6555	0	26.6327	0	26.4908	0	
SKP2	SKP2	S-phase kinase-associated protein 2	4	4	Q13309;Q13309-2;Q13309-4	Q13309;Q13309-2	4;3;1	4;3;1	4;3;1	47.76	11.3	0.77	1.7E-01	26.2634	0	26.4021	0	26.1199	0	26.2791	0	26.9816	0	26.6337	0	
WASF1	WASF1	Wiskott-Aldrich syndrome protein family member 1	7	7	Q92558	Q92558	7	7	7	61.651	13.2	0.91	4.4E-01	26.5776	0	26.8577	0	26.5698	0	26.9821	0	26.8603	0	26.565	0	
ATG2A	ATG2A	Autophagy-related protein 2 homolog A	2	2	Q2TAZ0;Q2TAZ0-3;Q2TAZ0-4	Q2TAZ0;Q2TAZ0-3;Q2TAZ0-4	2;2;1	2;2;1	2;2;1	212.86	1.2	1.24	8.6E-01	24.9408	1	28.0216	0	24.7348	1	28.2902	0	24.585	1	23.8753	1	
PCDH10	PCDH10	Protocadherin-10	2	2	Q9P2E7;Q9P2E7-2	Q9P2E7;Q9P2E7-2	2;1	2;1	2;1	112.93	2.3	0.97	8.9E-01	26.6082	0	27.0307	0	26.3685	0	26.4962	0	27.1324	0	26.504	0	
SRR	SRR	Serine racemase	4	4	Q9GZT4	Q9GZT4	4	4	4	36.566	17.6	0.42	2.8E-01	26.4739	0	23.3714	1	26.3282	0	26.8118	0	26.7071	0	26.4403	0	
P4HA1	P4HA1	Prolyl 4-hydroxylase subunit alpha-1	5	5	P13674-3;P13674-2;P13674	P13674-3;P13674-2;P13674	5;5;5	5;5;5	5;5;5	58.957	12.2	1.22	4.2E-01	27.1979	0	26.894	0	26.5049	0	26.775	0	26.0712	0	26.8863	0	
RRP12	RRP12	RRP12-like protein	9	8	Q5JTH9-2;Q5JTH9-3;Q5JTH9	Q5JTH9-2;Q5JTH9-3;Q5JTH9	9;9;9	8;8;8	8;8;8	132.71	8.7	0.99	9.7E-01	26.8338	0	27.4076	0	26.6792	0	26.7576	0	27.2461	0	26.9509	0	
CHMP1A	CHMP1A	Charged multivesicular body protein 1a	3	3	Q9HD42	Q9HD42	3	3	3	21.703	13.3	0.96	6.3E-01	26.3675	0	26.3836	0	26.0551	0	26.3148	0	26.4207	0	26.2565	0	
NANS	NANS	Sialic acid synthase	3	3	Q9NR45	Q9NR45	3	3	3	40.307	11.4	1.01	1.0E+00	25.168	0	24.3224	1	27.3509	0	27.0691	0	22.7764	1	26.9638	0	
TMEM237	TMEM237	Transmembrane protein 237	2	2	Q96Q45-2;Q96Q45;Q96Q45-5;Q96Q45-3	Q96Q45-2;Q96Q45;Q96Q45-5;Q96Q45-3	2;2;2;2	2;2;2;2	2;2;2;2	44.598	7.2	0.81	1.1E-01	26.6842	0	26.5986	0	26.4284	0	26.9036	0	27.0917	0	26.6475	0	
KCT2	KCT2	Keratinocyte-associated transmembrane protein 2	2	2	Q8NC54	Q8NC54	2	2	2	29.234	8.7	0.51	2.3E-01	24.5384	1	26.7507	0	26.3752	0	26.9234	0	26.8459	0	26.7827	0	
AGO1	AGO1	Protein argonaute-1	12	5	Q9UL18;Q9HCK5	Q9UL18	12;5	7;2	5;1	97.213	16.9	1.23	1.2E-01	27.1666	0	26.771	0	26.6971	0	26.6732	0	26.5093	0	26.5595	0	
SACM1L	SACM1L	Phosphatidylinositide phosphatase SAC1	6	6	Q9NTJ5;Q9NTJ5-2	Q9NTJ5;Q9NTJ5-2	6;5	6;5	6;5	66.966	10.1	1.08	4.1E-01	26.7042	0	26.7103	0	26.5357	0	26.406	0	26.7571	0	26.4386	0	
GLG1	GLG1	Golgi apparatus protein 1	8	8	Q92896;Q92896-3;Q92896-2	Q92896;Q92896-3;Q92896-2	8;8;8	8;8;8	8;8;8	134.55	7.1	1.29	1.9E-01	26.9679	0	27.1827	0	27.6941	0	26.9109	0	26.7756	0	27.0664	0	
UVRAG	UVRAG	UV radiation resistance-associated gene protein	6	6	Q9P2Y5;Q9P2Y5-2	Q9P2Y5	6;2	6;2	6;2	78.15	8.9	0.27	1.6E-01	24.6175	1	23.5263	1	27.2324	0	27.4183	0	26.6959	0	26.9926	0	
RNF11	RNF11	RING finger protein 11	2	2	Q9Y3C5	Q9Y3C5	2	2	2	17.444	13.6	0.66	6.4E-01	24.4441	1	26.5172	0	24.6519	1	26.8193	0	26.8077	0	23.7871	1	
ZKSCAN8	ZKSCAN8	Zinc finger protein with KRAB and SCAN domains 8	6	6	Q15776;Q15776-2	Q15776	6;1	6;1	6;1	65.815	11.9	0.88	7.7E-01	25.4147	0	26.9994	0	27.2829	0	26.6716	0	26.8176	0	26.7624	0	
ABHD3	ABHD3	Phospholipase ABHD3	3	3	Q8WU67;Q8WU67-2	Q8WU67	3;1	3;1	3;1	46.008	9.3	1.01	9.3E-01	26.6808	0	26.8309	0	26.3038	0	26.3872	0	26.8434	0	26.53	0	288
SARM1	SARM1	Sterile alpha and TIR motif-containing protein 1	10	10	Q6SZW1-2;Q6SZW1	Q6SZW1-2;Q6SZW1	10;10	10;10	10;10	75.337	18.3	1.69	3.6E-01	27.2332	0	26.7572	0	26.6859	0	26.7669	0	26.9133	0	24.7226	1	
NMD3	NMD3	60S ribosomal export protein NMD3	4	4	Q96D46	Q96D46	4	4	4	57.603	7.8	1.32	5.5E-01	26.2581	0	26.6139	0	26.2382	0	26.6096	0	26.537	0	24.7742	1	
TMEM165	TMEM165	Transmembrane protein 165	2	2	Q9HC07-2;Q9HC07	Q9HC07-2;Q9HC07	2;2	2;2	2;2	28.432	11.1	1.78	5.8E-01	23.1276	1	26.9553	0	26.6843	0	24.1781	1	24.0608	1	26.0286	0	
