Leading	Gene names	Protein names	Peptides	Unique peptides	Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Mol. weight [kDa]	Sequence coverage [%]	Fold Change RNAi/Control	p-value	LFQ intensity RNAi_1	imputed (0=no/1=yes)	LFQ intensity RNAi_2	imputed (0=no/1=yes)	LFQ intensity RNAi_3	imputed (0=no/1=yes)	LFQ intensity CONTROL_1	imputed (0=no/1=yes)	LFQ intensity CONTROL_2	imputed (0=no/1=yes)	LFQ intensity CONTROL_3	imputed (0=no/1=yes)	GlyGly (K) site positions
	CTNND1	Catenin delta-1	8	8	O60716	O60716	8	8	8	108.17	10.8	2.15640775052265	0.425595473214212	11.1184	0	7.67964	1	7.79273	1	7.43093	1	7.02229	1	8.81162	1	
	DDX1	ATP-dependent RNA helicase DDX1	8	8	Q92499	Q92499	8	8	8	82.431	12.6	2.51390477066419	0.359555552657127	10.1422	0	10.3606	0	7.93863	1	10.2027	0	7.02689	1	7.22209	1	
	UBE2D1;UBE2D4	Ubiquitin-conjugating enzyme E2 D1;Ubiquitin-conjugating enzyme E2 D4	3	2	P51668;Q9Y2X8	P51668;Q9Y2X8	3;2	2;1	2;1	16.602	24.5	3.01022223408371	0.298154933561443	7.59513	1	8.28517	1	11.6151	0	7.21427	1	6.98556	1	8.52596	1	
	LARS	Leucine--tRNA ligase, cytoplasmic	12	12	Q9P2J5	Q9P2J5	12	12	12	134.46	12	2.17243046485197	0.588713506928854	11.6685	0	10.6527	0	6.79881	1	10.9819	0	7.47037	1	7.30979	1	
	FLG2	Filaggrin-2	3	3	Q5D862	Q5D862	3	3	3	248.07	1.5	2.33640438894021	0.395941478076803	8.52668	1	12.3967	0	8.67854	1	8.58846	1	9.09091	0	8.24966	1	
	RNF219	RING finger protein 219	2	2	Q5W0B1	Q5W0B1	2	2	2	81.116	2.5	2.32846629658231	0.469972016987324	11.3008	0	8.12187	1	11.2143	0	11.1995	0	8.18559	1	7.59372	1	
	COPB2	Coatomer subunit beta	8	8	P35606	P35606	8	8	8	102.49	10.4	2.7938024281766	0.262976535741019	11.3127	0	8.24164	1	7.79435	1	8.05533	1	7.72235	1	7.12426	1	
	NUP107	Nuclear pore complex protein Nup107	6	6	P57740	P57740	6	6	6	106.37	7.5	3.17886114528984	0.081831403523445	10.5983	0	8.50467	1	8.68664	1	7.75414	1	7.07015	1	7.9598	1	
	CALR	Calreticulin	5	5	P27797	P27797	5	5	5	48.141	12	2.02617670699909	0.161612891305458	9.39947	0	9.73503	0	8.15674	1	8.26236	1	7.40093	1	8.57168	1	
	ARCN1	Coatomer subunit delta	6	6	P48444	P48444	6	6	6	57.21	12.9	3.56050036359907	0.160130477982129	11.3888	0	9.19659	1	8.06524	1	6.90017	1	8.32136	1	7.9329	1	
	DDX17	Probable ATP-dependent RNA helicase DDX17	5	2	Q92841;O15523;O00571	Q92841	5;1;1	2;0;0	2;0;0	80.272	7.1	2.35745462016182	0.293357367673508	8.61857	1	10.6383	0	7.45913	1	8.47072	1	6.9987	1	7.53494	1	
	PRKCSH	Glucosidase 2 subunit beta	4	4	P14314	P14314	4	4	4	59.425	10.6	2.38864093258365	0.378433870854874	10.3149	0	10.5041	0	6.62035	1	7.99912	1	7.65899	1	8.01273	1	
	LARP1	La-related protein 1	6	6	Q6PKG0	Q6PKG0	6	6	6	123.51	5.1	2.92460137934255	0.342308749532464	12.2009	0	8.00475	1	7.84688	1	7.88205	1	8.08327	1	7.44246	1	
	GAS1	Growth arrest-specific protein 1	1	1	P54826	P54826	1	1	1	35.693	3.5	2.51611872761602	0.459303759260817	6.54623	1	11.8844	0	8.37831	1	8.43685	1	6.92578	1	7.45274	1	
	RPL11	60S ribosomal protein L11	2	2	P62913	P62913	2	2	2	20.252	14.6	2.28944832119737	0.405467453941492	10.9145	0	6.85731	1	7.99682	1	6.65766	1	8.18461	1	7.34139	1	
	NUB1	NEDD8 ultimate buster 1	4	4	Q9Y5A7	Q9Y5A7	4	4	4	70.537	7.3	2.01968457902135	0.316316611738801	10.1573	0	9.92333	0	7.67043	1	8.84821	1	8.3656	1	7.49491	1	
	VCPIP1	Deubiquitinating protein VCIP135	6	6	Q96JH7	Q96JH7	6	6	6	134.32	6.3	3.9849731399443	0.155302697790509	11.5151	0	10.3595	0	7.70462	1	7.74132	1	7.65257	1	8.20166	1	
	CDC5L	Cell division cycle 5-like protein	6	6	Q99459	Q99459	6	6	6	92.25	8.2	2.20777017819692	0.148503606197123	8.94138	1	9.63456	0	7.89163	1	7.47107	1	8.4355	1	7.13324	1	
	MYH14	Myosin-14	3	1	Q7Z406	Q7Z406	3	1	1	227.87	2	4.18251292918855	0.208089420139036	7.66191	1	8.35131	1	12.034	0	7.25997	1	7.6958	1	6.89835	1	
	SYMPK	Symplekin	8	8	Q92797	Q92797	8	8	8	141.15	7	3.87063428035998	0.131874552828065	11.2629	0	8.20806	1	9.31028	1	6.89446	1	7.38736	1	8.64166	1	
	SLC12A2	Solute carrier family 12 member 2	6	6	P55011	P55011	6	6	6	131.45	7.1	4.75264288111824	0.101557265809104	10.7186	0	10.3308	0	7.44889	1	7.75361	1	7.02317	1	6.97534	1	
	SARS	Serine--tRNA ligase, cytoplasmic	4	4	P49591	P49591	4	4	4	58.777	7.8	2.40640588445989	0.069313846462088	9.30725	0	9.10677	0	9.02034	1	6.92961	1	8.04177	1	8.66234	1	
	NUMA1	Nuclear mitotic apparatus protein 1	7	7	Q14980	Q14980	7	7	7	238.26	3.6	2.13679721389406	0.219755118814174	8.59876	1	10.0358	0	7.71134	1	8.04513	1	7.98854	1	7.02583	1	
	EIF2B1	Translation initiation factor eIF-2B subunit alpha	4	4	Q14232	Q14232	4	4	4	33.712	18	3.79505291106114	0.053248821446609	7.86015	1	8.27762	1	9.83434	0	6.45184	1	6.27013	1	7.47778	1	
	SPTAN1	Spectrin alpha chain, non-erythrocytic 1	13	13	Q13813	Q13813	13	13	13	284.54	6.1	2.32152046691044	0.292595067085636	10.8669	0	8.24874	1	8.18155	1	7.96238	1	8.66406	1	7.02555	1	
	EIF3L	Eukaryotic translation initiation factor 3 subunit L	5	5	Q9Y262	Q9Y262	5	5	5	66.726	9	2.09560963467379	0.26482318227337	7.21495	1	10.0262	0	8.43979	1	7.33236	1	7.74666	1	7.39986	1	
	PRKDC	DNA-dependent protein kinase catalytic subunit	6	6	P78527	P78527	6	6	6	469.08	1.6	5.19635501829509	0.063308205001386	10.7985	0	10.4578	0	8.24659	1	8.24475	1	7.53467	1	6.59093	1	
	PGM3	Phosphoacetylglucosamine mutase	2	2	O95394	O95394	2	2	2	59.851	3	2.73801433516732	0.147311618128406	10.2307	0	7.65587	1	8.66146	0	7.0086	1	8.00506	1	7.17501	1	
	RNF20	E3 ubiquitin-protein ligase BRE1A	8	6	Q5VTR2	Q5VTR2	8	8	6	113.66	9.1	2.15424151277715	0.330671678591922	10.828	0	7.61965	1	8.24268	1	7.60371	1	7.59115	1	8.17393	1	
	IRS4	Insulin receptor substrate 4	5	5	O14654	O14654	5	5	5	133.77	4.3	2.07025718107199	0.396076431034184	11.1212	0	7.40663	1	8.63137	1	8.32714	1	7.9107	1	7.77194	1	
	MYO6	Unconventional myosin-VI	7	7	Q9UM54	Q9UM54	7	7	7	149.69	6.8	2.99731352388535	0.101380399903077	10.3637	0	8.28509	1	8.982	1	7.1788	1	8.48689	1	7.21408	1	
	ASNA1	ATPase ASNA1	2	2	O43681	O43681	2	2	2	38.792	5.5	2.16907509341418	0.164564820346722	8.40931	1	7.44807	1	9.14313	0	8.05017	1	6.56922	1	7.02987	1	
	L2HGDH	L-2-hydroxyglutarate dehydrogenase, mitochondrial	1	1	Q9H9P8	Q9H9P8	1	1	1	50.315	2.6	2.04031230716895	0.44686053382771	10.853	0	7.62293	1	7.07551	1	8.12039	1	7.1009	1	7.24377	1	
	HECTD1	E3 ubiquitin-protein ligase HECTD1	3	3	Q9ULT8	Q9ULT8	3	3	3	289.38	1.4	2.13660467762348	0.256117939963405	10.2962	0	8.37229	1	7.57003	1	7.44662	1	7.50961	1	7.99636	1	
	IARS	Isoleucine--tRNA ligase, cytoplasmic	5	5	P41252	P41252	5	5	5	144.5	4.2	3.27510236607514	0.088066350621122	10.3069	0	7.85737	1	9.04466	1	7.10541	1	7.04365	1	7.9252	1	
	HMGB3	High mobility group protein B3	1	1	O15347	O15347	1	1	1	22.98	6.5	2.78498585479469	0.111837384027668	9.88853	0	7.83926	1	7.6635	1	6.87961	1	7.2545	1	6.82417	1	
	SMC1A	Structural maintenance of chromosomes protein 1A	7	7	Q14683	Q14683	7	7	7	143.23	6.8	2.47381908980971	0.113419048614083	8.79941	1	8.97316	1	10.5487	0	7.58453	1	8.09248	1	8.72406	1	
	GNE	Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase;UDP-N-acetylglucosamine 2-epimerase (hydrolyzing);N-acetylmannosamine kinase	4	4	Q9Y223	Q9Y223	4	4	4	79.274	5.4	2.16862409382154	0.344554558453071	7.47022	1	7.31888	1	10.2423	0	8.05145	1	6.60471	1	7.02495	1	
	USP24	Ubiquitin carboxyl-terminal hydrolase 24	3	3	Q9UPU5	Q9UPU5	3	3	3	294.36	1.1	2.78253531908415	0.128408862846986	9.33226	0	7.05461	1	9.05118	1	7.47051	1	6.48258	1	7.05574	1	
	CDYL	Chromodomain Y-like protein	1	1	Q9Y232	Q9Y232	1	1	1	66.481	1.5	2.01102358295684	0.063405947972103	8.31263	1	8.96074	1	7.8534	1	7.15318	1	7.12102	0	7.82878	1	
	FYN;YES1;LYN;HCK;SRC	Tyrosine-protein kinase Fyn;Tyrosine-protein kinase Yes;Tyrosine-protein kinase Lyn;Tyrosine-protein kinase HCK;Proto-oncogene tyrosine-protein kinase Src	2	2	P06241;P07947;P07948;P08631;P12931	P06241;P07947;P07948;P08631;P12931	2;2;1;1;1	2;2;1;1;1	2;2;1;1;1	60.761	3	2.03486064975552	0.160130109268502	8.0351	1	10.0657	0	9.29274	1	8.15801	1	8.18071	1	7.98001	1	
	ANKRD17;ANKHD1	Ankyrin repeat domain-containing protein 17;Ankyrin repeat and KH domain-containing protein 1	5	5	O75179;Q8IWZ3	O75179;Q8IWZ3	5;3	5;3	5;3	274.25	2.5	2.60801108217439	0.107513499966733	10.2129	0	8.00145	1	8.54432	1	7.66835	1	7.49996	1	7.44148	1	
	PLAA	Phospholipase A-2-activating protein	3	3	Q9Y263	Q9Y263	3	3	3	87.156	5.5	2.37597556622623	0.081577426381287	8.63211	1	8.75047	1	7.73734	1	7.97911	0	6.83289	1	6.56236	1	
	NUP153	Nuclear pore complex protein Nup153	1	1	P49790	P49790	1	1	1	153.94	0.9	10.5832439391845	0.28521410543134	7.24307	1	8.68057	1	16.1231	0	7.06887	1	7.03099	1	7.73571	1	
	RPS27A;UBA52;UBB;UBC	Ubiquitin-40S ribosomal protein S27a;Ubiquitin;40S ribosomal protein S27a;Ubiquitin-60S ribosomal protein L40;Ubiquitin;60S ribosomal protein L40;Polyubiquitin-B;Ubiquitin;Polyubiquitin-C;Ubiquitin	20	20	P62979;P62987;P0CG47;P0CG48	P62979;P62987;P0CG47;P0CG48	20;18;18;18	20;18;18;18	20;18;18;18	17.965	55.1	0.94334493804919	0.720997900361578	21.2498	0	21.3187	0	21.5734	0	21.0724	0	21.6676	0	21.6543	0	11;27;29;48;63;113
	UBA1	Ubiquitin-like modifier-activating enzyme 1	49	49	P22314	P22314	49	49	49	117.85	54.6	1.03867989028328	0.810610640089341	19.5857	0	19.4084	0	19.1948	0	19.07	0	19.2684	0	19.6863	0	
	HSPA8	Heat shock cognate 71 kDa protein	40	34	P11142;P54652;P38646	P11142	40;13;1	40;13;1	34;7;1	70.897	57.7	0.89589775615396	0.552390244363752	18.5426	0	19.1394	0	19.3007	0	19.0783	0	19.3172	0	19.0631	0	507
	HSPA1A	Heat shock 70 kDa protein 1A	36	20	P08107	P08107	36	33	20	70.051	57.9	0.853353852508596	0.323097055385858	17.1557	0	17.8143	0	17.6963	0	17.7746	0	17.7685	0	17.8096	0	507;524
	EEF1A1P5;EEF1A1;EEF1A2	Putative elongation factor 1-alpha-like 3;Elongation factor 1-alpha 1;Elongation factor 1-alpha 2	11	11	Q5VTE0;P68104;Q05639	Q5VTE0;P68104;Q05639	11;11;7	11;11;7	11;11;7	50.184	27.5	0.941387694601922	0.643026690761188	16.2807	0	16.699	0	16.7951	0	16.5357	0	16.722	0	16.7785	0	
	HIST1H2AJ;HIST1H2AH;H2AFJ;HIST2H2AC;HIST2H2AA3;HIST1H2AD;HIST1H2AG	Histone H2A type 1-J;Histone H2A type 1-H;Histone H2A,J;Histone H2A type 2-C;Histone H2A type 2-A;Histone H2A type 1-D;Histone H2A type 1	8	2	Q99878;Q96KK5;Q9BTM1;Q16777;Q6FI13;P20671;P0C0S8	Q99878;Q96KK5;Q9BTM1;Q16777;Q6FI13;P20671;P0C0S8	8;8;8;8;8;8;8	8;8;8;8;8;8;8	2;2;2;2;2;2;2	13.936	36.7	1.20718434336807	0.786147431800213	15.0815	0	17.3385	0	16.7917	0	17.2456	0	16.1361	0	15.015	0	119
	HSP90AB1	Heat shock protein HSP 90-beta	33	15	P08238;Q58FF7;Q58FF6	P08238	33;16;5	33;16;5	15;6;0	83.263	39.8	1.1161430953249	0.360820330519635	17.0743	0	16.7051	0	17.0555	0	16.6896	0	16.9786	0	16.6911	0	
	CCT8	T-complex protein 1 subunit theta	32	32	P50990	P50990	32	32	32	59.62	54.9	0.977708838533719	0.906907304817548	16.6637	0	16.0654	0	15.956	0	16.0436	0	16.2143	0	16.5247	0	
	YARS	Tyrosine--tRNA ligase, cytoplasmic;Tyrosine--tRNA ligase, cytoplasmic, N-terminally processed	31	31	P54577	P54577	31	31	31	59.143	57.6	1.21541499825287	0.57781658075659	16.8085	0	15.978	0	15.1981	0	15.6928	0	15.7047	0	15.7428	0	
	YWHAE	14-3-3 protein epsilon	17	15	P62258	P62258	17	17	15	29.174	61.6	0.863026042710182	0.186936453873356	15.3496	0	14.9346	0	14.9923	0	15.3058	0	15.3592	0	15.249	0	
	LDHB	L-lactate dehydrogenase B chain	16	15	P07195	P07195	16	16	15	36.638	40.4	0.968293489916007	0.83494333063245	15.4727	0	14.9495	0	15.6187	0	15.4584	0	15.2965	0	15.4253	0	308
	UBE2D3;UBE2D2	Ubiquitin-conjugating enzyme E2 D3;Ubiquitin-conjugating enzyme E2 D2	4	3	P61077;P62837	P61077;P62837	4;2	4;2	3;1	16.687	26.5	1.7951134197443	0.063725022869499	15.2813	0	15.2697	0	15.5104	0	14.9163	0	14.7399	0	13.873	0	
	RPS3	40S ribosomal protein S3	21	21	P23396	P23396	21	21	21	26.688	77	1.12167832572968	0.315244849674943	15.2731	0	14.8131	0	15.13	0	14.9921	0	14.904	0	14.8232	0	214
	KPNA2	Importin subunit alpha-1	14	14	P52292	P52292	14	14	14	57.861	34.2	0.926372287018768	0.423558108313265	15.3599	0	15.1491	0	15.1199	0	15.5123	0	15.1896	0	15.2579	0	
	RAD23B	UV excision repair protein RAD23 homolog B	12	10	P54727	P54727	12	12	10	43.171	33.3	1.25929038634349	0.139931342252036	15.4765	0	15.3435	0	15.2855	0	15.3226	0	15.0568	0	14.7282	0	
	VCP	Transitional endoplasmic reticulum ATPase	34	34	P55072	P55072	34	34	34	89.321	44	0.879304038536918	0.433631676892786	15.5659	0	15.0588	0	15.2059	0	15.2189	0	15.7394	0	15.4289	0	
	PABPC1	Polyadenylate-binding protein 1	25	17	P11940;Q9H361;Q4VXU2;Q96DU9	P11940	25;12;4;1	25;12;4;1	17;10;2;1	70.67	41.5	0.848329713737886	0.328267584886308	15.0469	0	15.1652	0	15.4297	0	15.6355	0	15.6285	0	15.0896	0	
	HSPA5	78 kDa glucose-regulated protein	28	27	P11021	P11021	28	27	27	72.332	44.3	0.893073611902632	0.431761585637891	15.1232	0	14.9541	0	15.54	0	15.3861	0	15.4766	0	15.244	0	
	HSP90AA1	Heat shock protein HSP 90-alpha	32	19	P07900;Q14568;Q58FG0;Q58FG1	P07900	32;6;4;2	19;2;2;1	19;2;2;1	84.659	39.8	1.21441035714659	0.189338093601718	15.6974	0	15.1176	0	15.5155	0	15.1012	0	15.2544	0	15.1342	0	
	PLS3	Plastin-3	24	24	P13797;P13796;Q14651	P13797	24;4;3	24;4;3	24;4;3	70.81	38.4	0.907205945295113	0.627679579731808	14.4071	0	15.1831	0	15.1248	0	15.2208	0	15.0319	0	14.8837	0	
	ST13;ST13P5;ST13P4	Hsc70-interacting protein;Putative protein FAM10A5;Putative protein FAM10A4	8	8	P50502;Q8NFI4;Q8IZP2	P50502;Q8NFI4;Q8IZP2	8;7;5	8;7;5	8;7;5	41.331	21.4	0.917595995255564	0.630108009350247	14.3801	0	14.6032	0	14.2212	0	14.1242	0	14.6134	0	14.8391	0	
	EEF2	Elongation factor 2	32	31	P13639	P13639	32	32	31	95.337	38.8	1.13234297358824	0.458502808258029	15.407	0	14.9554	0	14.7023	0	14.9891	0	14.7636	0	14.7742	0	
	CCT7	T-complex protein 1 subunit eta	17	17	Q99832	Q99832	17	17	17	59.366	36.5	1.08717862749078	0.826799680250659	15.2569	0	14.9484	0	13.6077	0	14.6219	0	14.2855	0	14.5439	0	
	PPP2R1A	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform	17	14	P30153	P30153	17	17	14	65.308	36.5	1.37271012124857	0.084459790531958	14.8513	0	15.3887	0	14.7815	0	14.6621	0	14.5137	0	14.4746	0	
	RPS10	40S ribosomal protein S10	7	7	P46783;Q9NQ39	P46783	7;2	7;2	7;2	18.898	44.2	1.16395235140512	0.512330251069206	14.2943	0	14.0451	0	14.2158	0	14.4155	0	14.0748	0	13.4078	0	138;139
	CTNNA1	Catenin alpha-1	22	18	P35221;Q9UI47	P35221	22;1	22;1	18;1	100.07	32.3	0.966627939321236	0.869022658115181	15.1528	0	14.4532	0	15.0354	0	14.7927	0	15.2779	0	14.7177	0	
	PDCD6IP	Programmed cell death 6-interacting protein	29	29	Q8WUM4	Q8WUM4	29	29	29	96.022	35.6	0.966411146642303	0.741252207955631	15.0923	0	14.7065	0	14.8677	0	14.7944	0	15.0817	0	14.9383	0	
	PCCA	Propionyl-CoA carboxylase alpha chain, mitochondrial	27	27	P05165	P05165	27	27	27	80.058	42.9	1.09487183595078	0.83493006529417	14.7121	0	15.043	0	13.1837	0	14.3702	0	13.9231	0	14.2532	0	
	HNRNPC;HNRNPCL1	Heterogeneous nuclear ribonucleoproteins C1/C2;Heterogeneous nuclear ribonucleoprotein C-like 1	11	11	P07910;O60812	P07910;O60812	11;7	11;7	11;7	33.67	30.1	0.971433470478793	0.887098816819899	14.2409	0	14.1664	0	13.5457	0	13.6947	0	14.226	0	14.1578	0	
	PCNA	Proliferating cell nuclear antigen	8	8	P12004	P12004	8	8	8	28.768	46	0.787846240704644	0.366851247281957	13.8346	0	13.011	0	14.0113	0	14.0315	0	13.6941	0	14.1633	0	
	GAPDH	Glyceraldehyde-3-phosphate dehydrogenase	12	12	P04406;O14556	P04406	12;1	12;1	12;1	36.053	48.4	1.03912355115566	0.760448836933662	14.1431	0	13.8097	0	13.7855	0	13.6433	0	13.8551	0	14.0738	0	
	TUBB;TUBB2B;TUBB2A;TUBB3	Tubulin beta chain;Tubulin beta-2B chain;Tubulin beta-2A chain;Tubulin beta-3 chain	18	5	P07437;Q9BVA1;Q13885;Q13509	P07437;Q9BVA1;Q13885;Q13509	18;12;12;9	18;12;12;9	5;1;1;1	49.67	45.3	0.85606188593992	0.296354140946701	13.7017	0	13.9911	0	13.5706	0	13.9408	0	13.7581	0	14.2371	0	
	CCT4	T-complex protein 1 subunit delta	20	20	P50991	P50991	20	20	20	57.924	41.6	1.68013481460125	0.092170087546758	15.0628	0	14.804	0	14.0112	0	13.9081	0	13.6502	0	14.0741	0	
	PRDX1	Peroxiredoxin-1	8	7	Q06830;Q13162	Q06830	8;1	8;1	7;1	22.11	37.2	0.935378776585979	0.619258533557876	13.8746	0	13.3379	0	13.8186	0	13.6688	0	13.859	0	13.7925	0	
	PHGDH	D-3-phosphoglycerate dehydrogenase	11	11	O43175	O43175	11	11	11	56.65	24.4	1.10877681843581	0.720566388197081	14.1069	0	13.8994	0	14.1434	0	13.2246	0	13.937	0	14.5412	0	
	PC	Pyruvate carboxylase, mitochondrial	34	34	P11498	P11498	34	34	34	129.63	36.3	0.516204634800528	0.226629270066631	14.8089	0	12.6924	0	13.897	0	14.2271	0	14.9446	0	15.0885	0	
	PSAT1	Phosphoserine aminotransferase	12	12	Q9Y617	Q9Y617	12	12	12	40.422	34.3	0.791313349013377	0.336259838457355	13.8169	0	13.3776	0	13.0415	0	13.3577	0	14.089	0	13.8024	0	
	UBE2C	Ubiquitin-conjugating enzyme E2 C	9	9	O00762	O00762	9	9	9	19.652	55.9	1.49159410449156	0.159131076232135	14.0975	0	13.1008	0	14.0606	0	13.0375	0	13.2183	0	13.2725	0	
	TNPO1	Transportin-1	14	10	Q92973	Q92973	14	14	10	102.35	17.5	0.72178396595272	0.099190481851502	13.7973	0	13.4426	0	13.847	0	14.1236	0	14.4955	0	13.8788	0	
	ATXN10	Ataxin-10	15	15	Q9UBB4	Q9UBB4	15	15	15	53.488	33.9	0.714272261005027	0.116866220766109	12.9825	0	13.2804	0	13.2093	0	13.2907	0	13.5728	0	14.065	0	262
	UBE2T	Ubiquitin-conjugating enzyme E2 T	8	8	Q9NPD8	Q9NPD8	8	8	8	22.521	37.6	1.05821883405211	0.802389986078658	13.4011	0	12.9513	0	13.9615	0	13.1794	0	13.4411	0	13.4485	0	
	EIF4A1	Eukaryotic initiation factor 4A-I	15	8	P60842	P60842	15	15	8	46.153	42.4	0.831427285655205	0.640269773946678	13.1856	0	12.6551	0	13.7952	0	12.7801	0	13.4477	0	14.2071	0	
	CCT3	T-complex protein 1 subunit gamma	17	17	P49368	P49368	17	17	17	60.533	37.4	1.65336471132741	0.053994559195448	14.291	0	14.5054	0	13.6606	0	13.4614	0	13.2597	0	13.5597	0	
	LDHA	L-lactate dehydrogenase A chain	15	14	P00338;Q6ZMR3;P07864	P00338	15;1;1	14;0;0	14;0;0	36.688	41.3	0.974141531800315	0.915362043577154	13.3115	0	12.9814	0	13.1486	0	13.7914	0	13.0599	0	12.7037	0	
	XRCC5	X-ray repair cross-complementing protein 5	20	20	P13010	P13010	20	20	20	82.704	31.1	0.90314153426705	0.542105732806789	13.7588	0	13.8496	0	14.4121	0	13.9888	0	14.2615	0	14.2112	0	
	RPA1	Replication protein A 70 kDa DNA-binding subunit;Replication protein A 70 kDa DNA-binding subunit, N-terminally processed	25	25	P27694	P27694	25	25	25	68.137	52.1	0.798120784529092	0.192129476755222	13.4848	0	14.0475	0	13.9811	0	14.3752	0	14.0886	0	14.0256	0	410
	DDB1	DNA damage-binding protein 1	24	24	Q16531	Q16531	24	24	24	126.97	23.1	0.978857190782901	0.948111468718622	14.9831	0	13.6363	0	14.7124	0	14.2317	0	14.8029	0	14.3896	0	
	KPNB1	Importin subunit beta-1	20	20	Q14974	Q14974	20	20	20	97.169	28.9	1.12791472642994	0.492403351209247	14.26	0	13.6758	0	13.8456	0	14.0107	0	13.7624	0	13.4873	0	
	SLC1A5	Neutral amino acid transporter B(0)	11	11	Q15758	Q15758	11	11	11	56.598	21.6	0.718664336677423	0.225741808492649	13.6273	0	13.8588	0	12.7678	0	13.941	0	13.842	0	13.9008	0	
	YWHAZ	14-3-3 protein zeta/delta	12	9	P63104	P63104	12	10	9	27.745	49	0.734404090784459	0.121010763202828	12.87	0	12.6608	0	12.946	0	13.6815	0	13.1437	0	12.9877	0	
	SCAMP3	Secretory carrier-associated membrane protein 3	10	10	O14828	O14828	10	10	10	38.287	41.5	0.8739047809403	0.559394252632845	13.2859	0	12.5152	0	13.0675	0	13.3001	0	12.7504	0	13.4014	0	
	EEF1D	Elongation factor 1-delta	8	8	P29692	P29692	8	8	8	31.121	38.1	0.961042275142304	0.794794219780997	13.189	0	12.8665	0	13.3315	0	12.9847	0	13.488	0	13.0864	0	
	MCM7	DNA replication licensing factor MCM7	23	23	P33993	P33993	23	23	23	81.307	36.7	0.893549154624206	0.490660390339677	13.6532	0	13.4134	0	14.0065	0	13.9324	0	14.0236	0	13.6042	0	
	CCT6A	T-complex protein 1 subunit zeta	18	18	P40227;Q92526	P40227	18;4	18;4	18;4	58.024	38.6	1.74487900594233	0.053637681856255	14.0158	0	14.0838	0	13.2211	0	13.0191	0	13.1249	0	12.7672	0	
	HSPA4	Heat shock 70 kDa protein 4	22	21	P34932	P34932	22	22	21	94.33	29.2	0.669037971964192	0.348010221570773	14.0017	0	12.3434	0	13.5834	0	13.671	0	14.3369	0	13.6602	0	
	CCT2	T-complex protein 1 subunit beta	22	22	P78371	P78371	22	22	22	57.488	55.1	1.10422257395986	0.654146466787823	13.7893	0	13.1768	0	12.8228	0	13.165	0	12.9487	0	13.2461	0	
	TXLNA	Alpha-taxilin	16	16	P40222	P40222	16	16	16	61.89	28.9	1.3681742662578	0.226908100371174	13.8085	0	13.7156	0	14.1588	0	13.7944	0	13.6581	0	12.8737	0	
	HNRNPU	Heterogeneous nuclear ribonucleoprotein U	10	10	Q00839	Q00839	10	10	10	90.583	13.9	0.653419765008712	0.243589183678899	13.6612	0	12.3341	0	13.689	0	13.789	0	13.8067	0	13.9304	0	
	EZR	Ezrin	19	11	P15311	P15311	19	19	11	69.412	33.8	0.828505396708732	0.33379052145976	13.2411	0	13.6359	0	13.8918	0	13.897	0	14.1166	0	13.5695	0	
	CLTC	Clathrin heavy chain 1	29	29	Q00610;P53675	Q00610	29;8	29;8	29;8	191.61	20.7	0.960737562696664	0.681492373405762	14.4997	0	14.3477	0	14.1168	0	14.2499	0	14.4035	0	14.4842	0	
	RANGAP1	Ran GTPase-activating protein 1	23	23	P46060	P46060	23	23	23	63.541	45.1	0.834666052510849	0.390637561264025	12.9413	0	13.5714	0	13.2844	0	13.841	0	13.5854	0	13.1529	0	
	CSDE1	Cold shock domain-containing protein E1	19	19	O75534	O75534	19	19	19	88.884	26.8	1.36727268626899	0.174722566329544	13.9216	0	13.3628	0	13.7805	0	13.5764	0	13.3001	0	12.8345	0	
	EIF3B	Eukaryotic translation initiation factor 3 subunit B	18	18	P55884	P55884	18	18	18	92.48	26.8	0.56969000500259	0.156177691813154	13.0957	0	12.2941	0	13.2926	0	13.1341	0	13.6378	0	14.3458	0	
	PGAM1;PGAM2	Phosphoglycerate mutase 1;Phosphoglycerate mutase 2	5	5	P18669;P15259;Q8N0Y7	P18669;P15259	5;4;2	5;4;2	5;4;2	28.804	22	1.13361755118073	0.540891304905271	13.0337	0	12.4533	0	12.3521	0	12.748	0	12.3749	0	12.1734	0	
	HSP90B1	Endoplasmin	21	19	P14625;Q58FF3	P14625	21;2	19;2	19;2	92.468	29.4	1.03110732035085	0.834014497588875	13.6867	0	13.1284	0	13.5078	0	13.5317	0	13.4784	0	13.1802	0	
	PGK1	Phosphoglycerate kinase 1	12	12	P00558;P07205	P00558	12;3	12;3	12;3	44.614	34.8	0.983206869006238	0.976795162199898	11.7929	0	12.0469	0	13.3435	0	12.6773	0	11.2274	0	13.3519	0	
	PARP1	Poly [ADP-ribose] polymerase 1	19	19	P09874	P09874	19	19	19	113.08	22.8	0.676073029429287	0.213732221612283	13.6839	0	12.4799	0	13.3313	0	13.5456	0	13.9952	0	13.6486	0	
	PKM	Pyruvate kinase PKM	16	16	P14618;P30613	P14618	16;1	16;1	16;1	57.936	37.9	0.982716919388717	0.961479878692207	12.8628	0	13.6261	0	12.1646	0	13.3066	0	12.4539	0	12.9685	0	
